player,overs,maidens,runs,wickets,run_rate,0s,4s,6s,wd,nb,team,opponent,innings,match_id
Mehidy Hasan Miraz,4.0,0,17,0,4.25,10,1,0,0,0,Bangladesh,Netherlands,1,46
Mustafizur Rahman,10.0,1,36,2,3.6,36,3,0,1,0,Bangladesh,Netherlands,1,46
Mahedi Hasan,7.0,0,40,2,5.71,23,3,1,1,0,Bangladesh,Netherlands,1,46
Shaheen Shah Afridi,10.0,1,72,2,7.2,32,9,3,0,0,Pakistan,England,1,47
Haris Rauf,10.0,0,64,3,6.4,32,7,0,3,0,Pakistan,England,1,47
Iftikhar Ahmed,7.0,0,38,1,5.42,17,4,0,0,0,Pakistan,England,1,47
Mohammad Wasim,10.0,0,74,2,7.4,26,7,3,1,0,Pakistan,England,1,47
Shadab Khan,10.0,0,57,0,5.7,25,5,1,0,0,Pakistan,England,1,47
Agha Salman,3.0,0,25,0,8.33,7,3,1,0,0,Pakistan,England,1,47
Jasprit Bumrah,5.0,1,8,1,1.6,26,0,0,3,0,India,Sri Lanka,2,0
Mohammed Siraj,7.0,2,16,3,2.28,35,2,0,1,0,India,Sri Lanka,2,0
Mohammed Shami,5.0,1,18,5,3.6,22,3,0,0,0,India,Sri Lanka,2,0
Kuldeep Yadav,2.0,0,3,0,1.5,9,0,0,0,0,India,Sri Lanka,2,0
Ravindra Jadeja,0.4,0,4,1,6.0,3,1,0,0,0,India,Sri Lanka,2,0
Shaheen Shah Afridi,7.0,0,37,1,5.28,26,5,0,2,0,Pakistan,Netherlands,2,1
Hasan Ali,7.0,1,33,2,4.71,31,6,0,4,0,Pakistan,Netherlands,2,1
Haris Rauf,9.0,0,43,3,4.77,33,5,1,2,0,Pakistan,Netherlands,2,1
Iftikhar Ahmed,3.0,0,16,1,5.33,7,1,0,0,0,Pakistan,Netherlands,2,1
Mohammad Nawaz,7.0,0,31,1,4.42,23,2,1,0,0,Pakistan,Netherlands,2,1
Shadab Khan,8.0,0,45,1,5.62,23,1,2,1,0,Pakistan,Netherlands,2,1
Jasprit Bumrah,9.0,2,43,2,4.77,37,8,0,0,0,India,Australia,2,2
Mohammed Shami,7.0,1,47,1,6.71,28,6,1,3,0,India,Australia,2,2
Ravindra Jadeja,10.0,0,43,0,4.3,29,1,1,1,0,India,Australia,2,2
Kuldeep Yadav,10.0,0,56,0,5.6,25,3,2,0,0,India,Australia,2,2
Mohammed Siraj,7.0,0,45,1,6.42,16,4,1,0,0,India,Australia,2,2
Jasprit Bumrah,6.5,1,32,3,4.68,31,3,2,2,0,India,England,2,3
Mohammed Siraj,6.0,0,33,0,5.5,22,3,1,2,0,India,England,2,3
Mohammed Shami,7.0,2,22,4,3.14,33,3,0,2,0,India,England,2,3
Kuldeep Yadav,8.0,0,24,2,3.0,28,1,0,0,0,India,England,2,3
Ravindra Jadeja,7.0,1,16,1,2.28,27,0,0,0,0,India,England,2,3
Aryan Dutt,10.0,0,44,3,4.4,38,3,1,2,0,Netherlands,Sri Lanka,2,4
Logan van Beek,10.0,0,57,0,5.7,36,6,2,0,0,Netherlands,Sri Lanka,2,4
Paul van Meekeren,8.0,1,39,1,4.87,29,4,0,2,0,Netherlands,Sri Lanka,2,4
Bas de Leede,3.0,0,29,0,9.66,7,4,0,2,0,Netherlands,Sri Lanka,2,4
Roelof van der Merwe,9.0,0,42,0,4.66,25,3,0,1,0,Netherlands,Sri Lanka,2,4
Colin Ackermann,8.2,0,39,1,4.68,25,3,0,0,0,Netherlands,Sri Lanka,2,4
Marco Jansen,8.0,0,39,2,4.87,34,5,0,5,0,South Africa,Bangladesh,2,5
Lizaad Williams,8.4,1,56,2,6.46,33,7,2,5,0,South Africa,Bangladesh,2,5
Gerald Coetzee,10.0,0,62,3,6.2,36,8,2,1,1,South Africa,Bangladesh,2,5
Kagiso Rabada,10.0,1,42,2,4.2,36,3,1,0,1,South Africa,Bangladesh,2,5
Keshav Maharaj,10.0,0,32,1,3.2,36,2,0,1,0,South Africa,Bangladesh,2,5
Mustafizur Rahman,8.0,0,36,1,4.5,26,3,0,3,0,Bangladesh,New Zealand,2,6
Shoriful Islam,7.5,1,43,0,5.48,30,5,1,3,0,Bangladesh,New Zealand,2,6
Taskin Ahmed,8.0,0,56,0,7.0,20,6,1,3,0,Bangladesh,New Zealand,2,6
Shakib Al Hasan,10.0,0,54,1,5.4,30,2,3,0,0,Bangladesh,New Zealand,2,6
Mehidy Hasan Miraz,9.0,0,58,0,6.44,17,4,1,1,0,Bangladesh,New Zealand,2,6
Shaheen Shah Afridi,6.0,0,36,2,6.0,21,5,1,1,0,Pakistan,India,2,7
Hasan Ali,6.0,0,34,1,5.66,23,7,0,0,0,Pakistan,India,2,7
Mohammad Nawaz,8.3,0,47,0,5.52,23,3,2,0,0,Pakistan,India,2,7
Haris Rauf,6.0,0,43,0,7.16,14,1,3,0,0,Pakistan,India,2,7
Shadab Khan,4.0,0,31,0,7.75,10,2,2,0,0,Pakistan,India,2,7
Dilshan Madushanka,6.2,0,58,0,9.15,16,11,0,1,0,Sri Lanka,New Zealand,2,8
Maheesh Theekshana,7.0,0,43,1,6.14,24,6,1,0,0,Sri Lanka,New Zealand,2,8
Dhananjaya de Silva,2.0,0,22,0,11.0,3,1,2,0,0,Sri Lanka,New Zealand,2,8
Dushmantha Chameera,4.0,1,20,1,5.0,17,1,2,0,0,Sri Lanka,New Zealand,2,8
Angelo Mathews,4.0,0,29,2,7.25,10,4,0,1,0,Sri Lanka,New Zealand,2,8
Jasprit Bumrah,10.0,1,64,1,6.4,32,6,1,6,0,India,New Zealand,2,9
Mohammed Siraj,9.0,0,78,1,8.66,26,10,3,3,0,India,New Zealand,2,9
Mohammed Shami,9.5,0,57,7,5.79,37,3,4,2,0,India,New Zealand,2,9
Ravindra Jadeja,10.0,0,63,0,6.3,29,3,3,0,1,India,New Zealand,2,9
Kuldeep Yadav,10.0,0,56,1,5.6,26,6,0,0,0,India,New Zealand,2,9
Aryan Dutt,8.3,0,49,0,5.76,25,6,0,3,0,Netherlands,Afghanistan,2,10
Logan van Beek,7.0,0,30,1,4.28,26,3,0,2,0,Netherlands,Afghanistan,2,10
Paul van Meekeren,5.0,0,35,0,7.0,15,6,0,1,1,Netherlands,Afghanistan,2,10
Roelof van der Merwe,5.0,0,27,1,5.4,11,2,0,0,0,Netherlands,Afghanistan,2,10
Saqib Zulfiqar,3.0,0,25,1,8.33,8,4,0,0,1,Netherlands,Afghanistan,2,10
Colin Ackermann,3.0,0,12,0,4.0,8,0,0,1,0,Netherlands,Afghanistan,2,10
Dilshan Madushanka,10.0,1,69,3,6.9,35,7,3,4,0,Sri Lanka,Bangladesh,2,11
Maheesh Theekshana,9.0,0,44,2,4.88,34,6,0,3,0,Sri Lanka,Bangladesh,2,11
Kasun Rajitha,4.0,0,47,0,11.75,7,5,3,0,0,Sri Lanka,Bangladesh,2,11
Dushmantha Chameera,8.0,0,54,0,6.75,25,8,1,2,0,Sri Lanka,Bangladesh,2,11
Angelo Mathews,7.1,1,35,2,4.88,24,4,0,1,0,Sri Lanka,Bangladesh,2,11
Dhananjaya de Silva,3.0,0,20,0,6.66,8,3,0,0,0,Sri Lanka,Bangladesh,2,11
Trent Boult,10.0,0,60,1,6.0,33,6,2,1,0,New Zealand,India,2,12
Matt Henry,9.0,0,55,1,6.11,31,7,2,0,0,New Zealand,India,2,12
Mitchell Santner,10.0,0,37,1,3.7,32,1,1,0,0,New Zealand,India,2,12
Lockie Ferguson,8.0,0,63,2,7.87,22,11,0,2,0,New Zealand,India,2,12
Rachin Ravindra,9.0,0,46,0,5.11,28,3,2,1,0,New Zealand,India,2,12
Glenn Phillips,2.0,0,12,0,6.0,3,1,0,0,0,New Zealand,India,2,12
Mitchell Starc,9.0,0,89,0,9.88,21,6,3,9,0,Australia,New Zealand,2,13
Josh Hazlewood,9.0,0,70,2,7.77,24,9,2,1,0,Australia,New Zealand,2,13
Pat Cummins,10.0,0,66,2,6.6,26,7,1,3,0,Australia,New Zealand,2,13
Glenn Maxwell,10.0,0,62,1,6.2,22,4,2,0,0,Australia,New Zealand,2,13
Adam Zampa,10.0,0,74,3,7.4,22,6,3,0,0,Australia,New Zealand,2,13
Mitchell Marsh,2.0,0,18,0,9.0,3,1,1,1,0,Australia,New Zealand,2,13
Aryan Dutt,5.0,1,19,0,3.8,21,3,0,0,0,Netherlands,South Africa,2,14
Logan van Beek,8.5,0,60,3,6.79,30,7,2,1,1,Netherlands,South Africa,2,14
Colin Ackermann,3.0,0,16,1,5.33,13,2,1,0,0,Netherlands,South Africa,2,14
Paul van Meekeren,9.0,0,40,2,4.44,33,4,1,0,0,Netherlands,South Africa,2,14
Roelof van der Merwe,9.0,0,34,2,3.77,29,1,1,0,0,Netherlands,South Africa,2,14
Bas de Leede,8.0,0,36,2,4.5,28,3,0,4,0,Netherlands,South Africa,2,14
Lungi Ngidi,5.0,1,26,2,5.2,23,2,2,3,0,South Africa,England,2,15
Marco Jansen,5.0,0,35,2,7.0,19,4,2,1,0,South Africa,England,2,15
Kagiso Rabada,6.0,1,38,1,6.33,24,6,1,0,1,South Africa,England,2,15
Gerald Coetzee,4.0,0,35,3,8.75,13,5,1,1,0,South Africa,England,2,15
Keshav Maharaj,2.0,0,27,1,13.5,4,1,3,0,0,South Africa,England,2,15
Marco Jansen,4.2,0,35,0,8.07,18,6,1,4,0,South Africa,Australia,2,16
Kagiso Rabada,6.0,0,41,1,6.83,24,2,4,1,1,South Africa,Australia,2,16
Aiden Markram,8.0,1,23,1,2.87,34,1,1,1,0,South Africa,Australia,2,16
Gerald Coetzee,9.0,0,47,2,5.22,35,8,0,1,1,South Africa,Australia,2,16
Tabraiz Shamsi,10.0,0,42,2,4.2,36,3,0,5,0,South Africa,Australia,2,16
Keshav Maharaj,10.0,0,24,1,2.4,39,1,0,0,0,South Africa,Australia,2,16
Chris Woakes,6.0,0,45,0,7.5,18,7,1,0,0,England,New Zealand,2,17
Sam Curran,6.0,2,47,1,7.83,17,6,1,2,0,England,New Zealand,2,17
Mark Wood,5.0,0,55,0,11.0,9,7,2,1,0,England,New Zealand,2,17
Moeen Ali,9.2,0,60,0,6.42,20,2,3,0,0,England,New Zealand,2,17
Adil Rashid,7.0,0,47,0,6.71,15,4,1,0,0,England,New Zealand,2,17
Liam Livingstone,3.0,0,24,0,8.0,7,4,0,0,0,England,New Zealand,2,17
Lahiru Kumara,4.0,0,47,0,11.75,8,5,2,0,0,Sri Lanka,Australia,2,18
Dilshan Madushanka,9.0,2,38,3,4.22,34,5,0,1,0,Sri Lanka,Australia,2,18
Maheesh Theekshana,7.0,0,49,0,7.0,19,5,2,0,0,Sri Lanka,Australia,2,18
Dunith Wellalage,9.2,0,53,1,5.67,29,6,1,0,0,Sri Lanka,Australia,2,18
Chamika Karunaratne,3.0,0,15,0,5.0,9,1,0,2,0,Sri Lanka,Australia,2,18
Dhananjaya de Silva,3.0,0,13,0,4.33,8,0,0,0,0,Sri Lanka,Australia,2,18
Fazalhaq Farooqi,5.0,0,19,1,3.8,22,2,0,2,0,Afghanistan,Bangladesh,2,19
Mujeeb Ur Rahman,7.0,0,30,0,4.28,26,3,1,0,0,Afghanistan,Bangladesh,2,19
Naveen-ul-Haq,5.4,0,31,1,5.47,14,2,0,1,1,Afghanistan,Bangladesh,2,19
Rashid Khan,9.0,0,48,0,5.33,24,5,0,0,0,Afghanistan,Bangladesh,2,19
Mohammad Nabi,6.0,1,18,0,3.0,20,0,0,1,0,Afghanistan,Bangladesh,2,19
Azmatullah Omarzai,2.0,0,9,1,4.5,7,1,0,0,0,Afghanistan,Bangladesh,2,19
Mitchell Starc,8.0,0,31,1,3.87,28,2,0,3,0,Australia,India,2,20
Josh Hazlewood,9.0,1,38,3,4.22,33,3,1,1,0,Australia,India,2,20
Pat Cummins,6.2,0,33,0,5.21,19,2,1,1,1,Australia,India,2,20
Glenn Maxwell,8.0,0,33,0,4.12,24,1,1,0,0,Australia,India,2,20
Cameron Green,2.0,0,11,0,5.5,7,2,0,0,0,Australia,India,2,20
Adam Zampa,8.0,0,53,0,6.62,13,4,0,0,0,Australia,India,2,20
Mitchell Starc,10.0,0,66,2,6.6,29,7,1,4,0,Australia,England,2,21
Josh Hazlewood,9.1,1,49,2,5.34,34,6,1,2,0,Australia,England,2,21
Pat Cummins,10.0,1,49,2,4.9,32,5,1,0,0,Australia,England,2,21
Adam Zampa,10.0,0,21,3,2.1,41,0,0,2,0,Australia,England,2,21
Travis Head,5.0,0,28,0,5.6,12,0,2,0,0,Australia,England,2,21
Marcus Stoinis,4.0,0,34,1,8.5,8,4,1,0,0,Australia,England,2,21
Taskin Ahmed,10.0,0,61,1,6.1,30,6,2,1,0,Bangladesh,Australia,2,22
Mahedi Hasan,9.0,0,38,0,4.22,29,3,0,1,0,Bangladesh,Australia,2,22
Nasum Ahmed,10.0,0,85,0,8.5,21,9,3,1,0,Bangladesh,Australia,2,22
Mehidy Hasan Miraz,6.0,0,47,0,7.83,13,3,3,0,0,Bangladesh,Australia,2,22
Mustafizur Rahman,9.4,1,76,1,7.86,20,8,2,1,0,Bangladesh,Australia,2,22
Chris Woakes,8.0,0,49,2,6.12,24,6,0,0,0,England,Bangladesh,2,23
Reece Topley,10.0,1,43,4,4.3,35,3,1,0,0,England,Bangladesh,2,23
Sam Curran,7.2,0,47,1,6.4,15,5,0,2,0,England,Bangladesh,2,23
Mark Wood,10.0,0,29,1,2.9,38,2,0,1,0,England,Bangladesh,2,23
Adil Rashid,10.0,0,42,1,4.2,31,1,1,0,0,England,Bangladesh,2,23
Liam Livingstone,3.0,0,13,1,4.33,11,0,1,0,0,England,Bangladesh,2,23
Mujeeb Ur Rahman,10.0,1,51,3,5.1,31,2,1,1,0,Afghanistan,England,2,24
Fazalhaq Farooqi,7.0,0,50,1,7.14,23,9,0,2,0,Afghanistan,England,2,24
Naveen-ul-Haq,6.0,1,44,1,7.33,17,8,0,0,1,Afghanistan,England,2,24
Mohammad Nabi,6.0,0,16,2,2.66,23,0,0,1,0,Afghanistan,England,2,24
Rashid Khan,9.3,1,37,3,3.89,30,3,0,0,0,Afghanistan,England,2,24
Azmatullah Omarzai,2.0,0,13,0,6.5,5,2,0,0,0,Afghanistan,England,2,24
Chris Woakes,6.0,0,30,0,5.0,21,4,0,2,0,England,Sri Lanka,2,25
David Willey,5.0,0,30,2,6.0,18,5,0,1,0,England,Sri Lanka,2,25
Adil Rashid,4.4,0,39,0,8.35,9,1,3,0,0,England,Sri Lanka,2,25
Mark Wood,4.0,0,23,0,5.75,12,3,0,0,0,England,Sri Lanka,2,25
Liam Livingstone,3.0,0,17,0,5.66,8,2,0,0,0,England,Sri Lanka,2,25
Moeen Ali,3.0,0,21,0,7.0,5,2,0,0,0,England,Sri Lanka,2,25
Trent Boult,8.0,0,34,0,4.25,29,3,0,1,0,New Zealand,Netherlands,2,26
Matt Henry,8.3,0,40,3,4.7,29,4,0,0,0,New Zealand,Netherlands,2,26
Mitchell Santner,10.0,0,59,5,5.9,30,4,2,0,0,New Zealand,Netherlands,2,26
Lockie Ferguson,8.0,0,32,0,4.0,31,5,0,0,0,New Zealand,Netherlands,2,26
Rachin Ravindra,10.0,0,46,1,4.6,30,3,1,0,1,New Zealand,Netherlands,2,26
Glenn Phillips,2.0,0,11,0,5.5,2,0,0,0,0,New Zealand,Netherlands,2,26
Mujeeb Ur Rahman,8.5,1,72,0,8.15,28,8,4,0,0,Afghanistan,Australia,2,27
Naveen-ul-Haq,9.0,0,47,2,5.22,34,5,2,1,0,Afghanistan,Australia,2,27
Azmatullah Omarzai,7.0,1,52,2,7.42,25,7,2,1,0,Afghanistan,Australia,2,27
Rashid Khan,10.0,0,44,2,4.4,36,3,1,3,0,Afghanistan,Australia,2,27
Noor Ahmad,10.0,1,53,0,5.3,36,4,2,1,0,Afghanistan,Australia,2,27
Mohammad Nabi,2.0,0,20,0,10.0,6,3,1,0,0,Afghanistan,Australia,2,27
Iftikhar Ahmed,3.0,0,23,0,7.66,9,1,1,1,0,Pakistan,South Africa,2,28
Shaheen Shah Afridi,10.0,0,45,3,4.5,37,5,0,3,0,Pakistan,South Africa,2,28
Mohammad Nawaz,6.2,0,40,0,6.31,15,4,1,0,0,Pakistan,South Africa,2,28
Haris Rauf,10.0,0,62,2,6.2,29,3,3,2,0,Pakistan,South Africa,2,28
Mohammad Wasim,10.0,1,50,2,5.0,37,7,0,3,0,Pakistan,South Africa,2,28
Usama Mir,8.0,0,45,2,5.62,25,1,3,1,0,Pakistan,South Africa,2,28
Marco Jansen,8.0,1,31,3,3.87,29,3,0,1,1,South Africa,New Zealand,2,29
Lungi Ngidi,6.0,1,28,0,4.66,23,4,0,0,0,South Africa,New Zealand,2,29
Kagiso Rabada,6.0,2,16,1,2.66,27,2,0,0,0,South Africa,New Zealand,2,29
Gerald Coetzee,6.3,0,41,2,6.3,24,5,1,1,0,South Africa,New Zealand,2,29
Keshav Maharaj,9.0,0,46,4,5.11,32,3,3,0,0,South Africa,New Zealand,2,29
Lungi Ngidi,8.0,1,49,1,6.12,30,3,4,2,0,South Africa,Sri Lanka,2,30
Marco Jansen,10.0,0,92,2,9.2,31,10,6,3,0,South Africa,Sri Lanka,2,30
Kagiso Rabada,7.5,0,50,2,6.38,22,3,2,2,1,South Africa,Sri Lanka,2,30
Keshav Maharaj,10.0,0,62,2,6.2,33,6,2,2,0,South Africa,Sri Lanka,2,30
Gerald Coetzee,9.0,0,68,3,7.55,26,7,3,1,0,South Africa,Sri Lanka,2,30
Mitchell Starc,4.0,0,22,1,5.5,19,5,0,2,0,Australia,Netherlands,2,31
Josh Hazlewood,6.0,0,27,1,4.5,25,4,0,2,0,Australia,Netherlands,2,31
Pat Cummins,4.0,0,14,1,3.5,16,2,0,0,0,Australia,Netherlands,2,31
Mitchell Marsh,4.0,0,19,2,4.75,15,2,0,3,0,Australia,Netherlands,2,31
Adam Zampa,3.0,0,8,4,2.66,10,0,0,0,0,Australia,Netherlands,2,31
Shoriful Islam,8.0,0,54,0,6.75,25,6,2,0,0,Bangladesh,India,2,32
Mustafizur Rahman,5.0,0,29,0,5.8,17,5,0,0,0,Bangladesh,India,2,32
Nasum Ahmed,9.3,0,60,0,6.31,30,4,4,0,0,Bangladesh,India,2,32
Hasan Mahmud,8.0,0,65,1,8.12,22,5,3,1,2,Bangladesh,India,2,32
Mehidy Hasan Miraz,10.0,0,47,2,4.7,24,3,0,1,0,Bangladesh,India,2,32
Mahmudullah,1.0,0,6,0,6.0,0,0,0,0,0,Bangladesh,India,2,32
Lungi Ngidi,8.0,2,18,1,2.25,35,0,0,1,0,South Africa,Australia,2,33
Marco Jansen,7.0,0,54,2,7.71,24,8,0,3,1,South Africa,Australia,2,33
Kagiso Rabada,8.0,1,33,3,4.12,35,5,0,1,1,South Africa,Australia,2,33
Keshav Maharaj,10.0,0,30,2,3.0,40,2,0,2,0,South Africa,Australia,2,33
Tabraiz Shamsi,7.5,0,38,2,4.85,24,4,0,0,0,South Africa,Australia,2,33
Trent Boult,7.0,1,18,2,2.57,32,1,0,2,0,New Zealand,Afghanistan,2,34
Matt Henry,5.0,2,16,1,3.2,22,1,1,0,0,New Zealand,Afghanistan,2,34
Mitchell Santner,7.4,0,39,3,5.08,24,3,1,1,0,New Zealand,Afghanistan,2,34
Lockie Ferguson,7.0,1,19,3,2.71,32,2,0,1,0,New Zealand,Afghanistan,2,34
Glenn Phillips,3.0,0,13,0,4.33,7,0,0,1,0,New Zealand,Afghanistan,2,34
Rachin Ravindra,5.0,0,34,1,6.8,11,4,0,0,0,New Zealand,Afghanistan,2,34
Dilshan Madushanka,9.0,0,48,2,5.33,28,4,1,3,0,Sri Lanka,Afghanistan,2,35
Kasun Rajitha,10.0,0,48,1,4.8,37,4,1,2,0,Sri Lanka,Afghanistan,2,35
Angelo Mathews,3.0,0,18,0,6.0,8,2,0,0,0,Sri Lanka,Afghanistan,2,35
Dushmantha Chameera,9.2,0,51,0,5.46,29,4,2,0,0,Sri Lanka,Afghanistan,2,35
Maheesh Theekshana,10.0,0,55,0,5.5,25,3,1,3,0,Sri Lanka,Afghanistan,2,35
Dhananjaya de Silva,4.0,0,21,0,5.25,9,2,0,0,0,Sri Lanka,Afghanistan,2,35
Jasprit Bumrah,5.0,0,14,0,2.8,23,2,0,1,0,India,South Africa,2,36
Mohammed Siraj,4.0,1,11,1,2.75,18,1,0,0,0,India,South Africa,2,36
Ravindra Jadeja,9.0,1,33,5,3.66,37,5,0,0,0,India,South Africa,2,36
Mohammed Shami,4.0,0,18,2,4.5,16,2,0,1,0,India,South Africa,2,36
Kuldeep Yadav,5.1,1,7,2,1.35,24,0,0,0,0,India,South Africa,2,36
Mitchell Starc,8.0,0,65,1,8.12,22,10,0,6,0,Australia,Pakistan,2,37
Josh Hazlewood,10.0,1,37,1,3.7,40,5,0,1,0,Australia,Pakistan,2,37
Pat Cummins,7.3,0,62,2,8.26,22,6,4,0,0,Australia,Pakistan,2,37
Adam Zampa,10.0,0,53,4,5.3,25,3,1,1,0,Australia,Pakistan,2,37
Glenn Maxwell,5.0,0,40,0,8.0,10,6,0,0,0,Australia,Pakistan,2,37
Marcus Stoinis,5.0,0,40,2,8.0,10,4,1,3,0,Australia,Pakistan,2,37
Chris Woakes,7.0,0,19,1,2.71,33,2,0,2,0,England,Netherlands,2,38
David Willey,7.0,2,19,2,2.71,33,3,0,0,0,England,Netherlands,2,38
Gus Atkinson,7.0,0,41,0,5.85,25,4,2,1,0,England,Netherlands,2,38
Moeen Ali,8.2,0,42,3,5.04,23,1,2,0,0,England,Netherlands,2,38
Adil Rashid,8.0,0,54,3,6.75,22,5,2,1,0,England,Netherlands,2,38
Taskin Ahmed,6.0,1,36,0,6.0,21,2,3,0,0,Bangladesh,Pakistan,2,39
Shoriful Islam,4.0,1,25,0,6.25,16,3,1,1,0,Bangladesh,Pakistan,2,39
Mehidy Hasan Miraz,9.0,0,60,3,6.66,25,3,4,0,0,Bangladesh,Pakistan,2,39
Mustafizur Rahman,7.0,0,47,0,6.71,23,9,0,1,0,Bangladesh,Pakistan,2,39
Shakib Al Hasan,5.3,0,30,0,5.45,13,1,1,0,0,Bangladesh,Pakistan,2,39
Najmul Hossain Shanto,1.0,0,5,0,5.0,4,1,0,0,0,Bangladesh,Pakistan,2,39
Maheesh Theekshana,10.0,0,59,1,5.9,23,3,0,1,0,Sri Lanka,Pakistan,2,40
Dilshan Madushanka,9.2,0,60,2,6.42,27,5,1,2,1,Sri Lanka,Pakistan,2,40
Dasun Shanaka,5.0,0,28,0,5.6,10,2,0,0,0,Sri Lanka,Pakistan,2,40
Matheesha Pathirana,9.0,0,90,1,10.0,14,8,1,9,0,Sri Lanka,Pakistan,2,40
Dunith Wellalage,10.0,0,62,0,6.2,24,4,2,0,0,Sri Lanka,Pakistan,2,40
Dhananjaya de Silva,4.0,0,36,0,9.0,7,3,2,0,0,Sri Lanka,Pakistan,2,40
Charith Asalanka,1.0,0,10,0,10.0,1,1,0,0,0,Sri Lanka,Pakistan,2,40
Jasprit Bumrah,9.0,1,33,2,3.66,35,3,0,1,0,India,Netherlands,2,41
Mohammed Siraj,6.0,1,29,2,4.83,23,5,0,1,0,India,Netherlands,2,41
Mohammed Shami,6.0,0,41,0,6.83,15,4,1,1,0,India,Netherlands,2,41
Kuldeep Yadav,10.0,1,41,2,4.1,39,1,3,0,0,India,Netherlands,2,41
Ravindra Jadeja,9.0,0,49,2,5.44,31,4,2,1,0,India,Netherlands,2,41
Virat Kohli,3.0,0,13,1,4.33,10,1,0,0,0,India,Netherlands,2,41
Shubman Gill,2.0,0,11,0,5.5,4,1,0,0,0,India,Netherlands,2,41
Suryakumar Yadav,2.0,0,17,0,8.5,5,0,2,0,0,India,Netherlands,2,41
Rohit Sharma,0.5,0,7,1,8.4,3,0,1,0,0,India,Netherlands,2,41
Trent Boult,6.0,0,50,0,8.33,20,7,2,2,0,New Zealand,Pakistan,2,42
Tim Southee,5.0,0,27,1,5.4,17,1,2,0,0,New Zealand,Pakistan,2,42
Mitchell Santner,5.0,0,35,0,7.0,13,1,3,0,0,New Zealand,Pakistan,2,42
Glenn Phillips,5.0,1,42,0,8.4,13,3,3,0,0,New Zealand,Pakistan,2,42
Ish Sodhi,4.0,0,44,0,11.0,6,3,3,1,0,New Zealand,Pakistan,2,42
Daryl Mitchell,0.3,0,1,0,2.0,2,0,0,0,0,New Zealand,Pakistan,2,42
Fazalhaq Farooqi,6.0,0,50,0,8.33,17,6,2,1,0,Afghanistan,India,2,43
Mujeeb Ur Rahman,8.0,0,64,0,8.0,18,6,1,3,0,Afghanistan,India,2,43
Naveen-ul-Haq,5.0,0,31,0,6.2,16,4,1,0,0,Afghanistan,India,2,43
Azmatullah Omarzai,4.0,0,34,0,8.5,12,5,1,1,0,Afghanistan,India,2,43
Mohammad Nabi,4.0,0,32,0,8.0,11,3,2,0,0,Afghanistan,India,2,43
Rashid Khan,8.0,0,57,2,7.12,12,4,1,1,0,Afghanistan,India,2,43
Shaheen Shah Afridi,10.0,0,58,1,5.8,27,5,0,2,0,Pakistan,Afghanistan,2,44
Hasan Ali,10.0,1,44,1,4.4,42,4,2,1,0,Pakistan,Afghanistan,2,44
Haris Rauf,8.0,1,53,0,6.62,19,6,0,3,0,Pakistan,Afghanistan,2,44
Usama Mir,8.0,0,55,0,6.87,19,6,0,2,1,Pakistan,Afghanistan,2,44
Shadab Khan,8.0,0,49,0,6.12,22,6,0,0,0,Pakistan,Afghanistan,2,44
Iftikhar Ahmed,5.0,0,27,0,5.4,15,1,1,0,0,Pakistan,Afghanistan,2,44
Mujeeb Ur Rahman,10.0,0,51,1,5.1,33,4,2,1,0,Afghanistan,South Africa,2,45
Naveen-ul-Haq,6.3,0,52,0,8.0,16,2,4,1,0,Afghanistan,South Africa,2,45
Mohammad Nabi,10.0,1,35,2,3.5,36,3,0,0,0,Afghanistan,South Africa,2,45
Azmatullah Omarzai,1.0,0,8,0,8.0,3,0,1,0,0,Afghanistan,South Africa,2,45
Rashid Khan,10.0,1,37,2,3.7,38,2,1,1,0,Afghanistan,South Africa,2,45
Noor Ahmad,9.0,0,49,0,5.44,23,3,0,3,0,Afghanistan,South Africa,2,45
Rahmat Shah,1.0,0,12,0,12.0,2,1,1,0,0,Afghanistan,South Africa,2,45
Aryan Dutt,10.0,3,26,1,2.6,48,3,1,0,0,Netherlands,Bangladesh,2,46
Logan van Beek,9.0,1,30,1,3.33,39,3,0,4,0,Netherlands,Bangladesh,2,46
Colin Ackermann,7.0,1,25,1,3.57,29,2,1,0,0,Netherlands,Bangladesh,2,46
Paul van Meekeren,7.2,0,23,4,3.13,30,2,0,2,0,Netherlands,Bangladesh,2,46
Bas de Leede,7.0,0,25,2,3.57,30,4,0,0,0,Netherlands,Bangladesh,2,46
Shariz Ahmad,2.0,0,13,0,6.5,5,2,0,0,0,Netherlands,Bangladesh,2,46
David Willey,10.0,0,56,3,5.6,37,8,1,2,0,England,Pakistan,2,47
Chris Woakes,5.3,0,27,1,4.9,22,5,0,0,0,England,Pakistan,2,47
Adil Rashid,10.0,0,55,2,5.5,26,4,1,1,0,England,Pakistan,2,47
Gus Atkinson,8.0,0,45,2,5.62,29,3,3,2,0,England,Pakistan,2,47
Moeen Ali,10.0,0,60,2,6.0,27,7,1,0,0,England,Pakistan,2,47
